trust_type,trust_name,system_name,user_category,sus_score,csus_score,review_positive_text,review_negative_text,,,
Mental Health Foundation Trust,Leeds and York Partnership NHS Foundation Trust,Paris (Civica),"Community Nurse - School Nurse, Health Visitor etc",30,20,"I like that in theory at least all the info I need is in one place, and should be accessible at all times.","Simplify it so there is less variation in how it can be used, and make all staff use it, rather than some staff groups being able to opt out. ",,,
Mental Health Foundation Trust,Leeds and York Partnership NHS Foundation Trust,Paris (Civica),"Physiotherapy, OT, Medical Technicians",32.5,17.5,That all records are in one place. ,"There are multiple copies of notes and assessments so it is very hard, or time consuming to find reliable information. This is not neccessarily the systems fault, but it is used too inconsistently.

I know simple functions I use, but anything more complex than keeping notes is very hard to work out how to do, overly complex and confusing. Much time is potentially wasted.

It frequently seems to cut out, which is frustrating, especially with time pressures. ",,,
Acute Trust (non-Foundation),Imperial College Healthcare NHS Trust,Millennium (Cerner),,75,37.5,Summary and mPages allow quick views of care,More intuitive for end users not just ohyscians,,,
Community Trust,OtherDorset Healthcare University NHS Foundation trustNHS DORSET CCG,SystmOne GP (TPP),Consultant nurse,75,37.5,The ability to see patient information wherever I am that is consistent and accurate ,Better interface with other Healthcare and social care systems ,,,
Mental Health Foundation Trust,Central and North West London NHS Foundation Trust,Jade,Secondary / Tertiary Care Doctor,0,2.5,We are going to stop using it soon - moving to SystmOne.,"Multiple workflow issues: information does not appear in standardised position on screen (e.g. DoB & hospital number jump around depending on view).
Alert fatigue: recent appointments 'pop up' with the same prominence as critical risk alerts.
Unreadable forms: only 2 lines of text visible in a box, requiring multiple scrolling.
No way to differentiate important clinical correspondence and appointment letters - time wasted opening irrelevant files.

Etc etc.",,,
Mental Health Foundation Trust,Central and North West London NHS Foundation Trust,JADE,Nurse,37.5,32.5,Attaching scanned notes,"The many forms and letters cannot be searched or queried in a sensible manner.
There should be a clinical summary page that updates info such as risk (and maybe all of these EHS systems could look at wikipedia for an idea on updating summary information)",,,
Clinical Commissioning Group (CCG - Primary Care - England),,EMIS Web (EMIS Health),Primary Care Nurse - eg GP Practice Nurse,70,22.5,"Fairly easy to use, & navigate",difficult to personalize & integrate with personal care plans for patients,,,
Mental Health Foundation Trust,Nottinghamshire Healthcare NHS Foundation Trust,RiO (Servelec Healthcare),Mental health nurse ,60,20,,"Ability to add care plans directly onto system 
Currently not fully electronic 
Not integrated with social care or GPs. ",,,
Acute Foundation Trust,King's College Hospital NHS Foundation Trust,ISOFT Clinical Manager,Secondary / Tertiary Care Doctor,57.5,45,No paper!,Improve the integration of the various components of the system. ,,,
Mental Health Foundation Trust,Hertfordshire Partnership NHS Foundation Trust,Paris (Civica),Secondary / Tertiary Care Doctor,65,32.5,"Simple to use
Free space to write unrestricted by electronic proformas

","There needs to be integration of records from different services within Trust. So if a Patient receives care from the crisis service (but continues to receive care from Mainstream service) the notes are ordered chronologically without having to jump from one electronic section to another. 
Links to attachments should be accessible within clinical notes at point they are uploaded. This will also improve integration. ",,,
Mental Health Trust (non-Foundation),West London Mental Health NHS Trust,RiO (Servelec Healthcare),Secondary / Tertiary Care Doctor,20,12.5,"Web based
","Most of it
The diary function 
Care planning functions 
Menus",,,
Acute Foundation Trust,King's College Hospital NHS Foundation Trust,,Clinical Nurse Specialist,67.5,32.5,Everything in one place.,"Reliability - it freezes very frequently, requiring restarts of the system.",,,
Acute Foundation Trust,King's College Hospital NHS Foundation Trust,,Clinical Nurse Specialist,67.5,32.5,Everything in one place.,"Reliability - it freezes very frequently, requiring restarts of the system.",,,
Mental Health Foundation Trust,East London NHS Foundation Trust,IAPTus,Primary care mental health,97.5,37.5,Usababilty reliability,Single summary view of all records,,,
Mental Health Foundation Trust,Leeds and York Partnership NHS Foundation Trust,Paris (Civica),Secondary / Tertiary Care Doctor,12.5,10,computer based systems are vital within the NHS,"To dump the system we use (Paris) and start again. Words fail me as to how hopelessly outdated clunky and inefficient this system is. Goodness knows why someone within our Trust decided to use this system. It reminds me of databases from the 1980s. It hasn't moved on from this time period and I feel strongly that no matter how cheap this system is that we have been duped. So the answer is, replace it with anything as long as it isn't Paris. And please could the NHS invoice those who have chosen to waste everyone's time and money on such a crock of s**t. Sorry if this offends anyone but if service users and the public were to understand the hopelessness of this system I am confident they would agree.",,,
Welsh Health Board,Cardiff and Vale University Health Board,Paris (Civica),IT or Technical Staff,70,37.5,Excellent design and in house development scope ,The colour scheme but I didn't pick it,,,
Acute Foundation Trust,University Hospital of South Manchester NHS Foundation Trust,In House System (In House),Secondary / Tertiary Care Doctor,17.5,25,"If you are willing to spend considerable time navigating the system, put up with the constant time outs, and lack of real integration between the components, there is a fairly rich amount of information available.","The information needs to be collated and presented in a consolidated view, not as a series of links out to separate data sources. The performance of the system needs vast improvement. Logging on to the system is a challenge in itself, and is frequently not possible due to ""unknown"" technical issues.",,,
Clinical Commissioning Group (CCG - Primary Care - England),,SystmOne GP (TPP),Primary Care Doctor - GP,12.5,5,"the search and reporting module is powerful, but maintaining the searches is awkward, because they are compiled from sub searches the folders get cluttered very quickly","There is far too much focus on individual functions and customisability. It needs to identify the common processes that end users 

The ability to file read codes as problems and as summary items causes a great deal of confusion to new users, they need to choose one or the other as many docs will file under one or the other, but rarely both. 

The medications screen is a cluttered mess, its dangerous and is in need of an overhaul. 

The interface is cluttered and inconsistent. No value appears to have been placed on the value of good interface design or user experience, they need to hire a good UX designer (several!)

The document scanning and workflow interface is very old fashioned, ensuring documents are filed correctly takes an age to set up. Trying to find the document you are looking for takes a long time, there is no search function, there are no document thumbnails. 

There is a great deal of replication of data entry. Medications can be both linked to a problem and filed under it - choose one or the other, but not both. 

It takes an age to learn how to use it. I spent two hours per week for six weeks with one of our new docs explaining how to use it. Much of this time was spent apologising for the inconsistencies and needless complexity of the user interface

I feel that systmone wasted hours of my time that would have been better spent talking to patients.",,,
Clinical Commissioning Group (CCG - Primary Care - England),,SystmOne GP (TPP),Manager,52.5,25,The appointment system/ staff leave. ,"Clinical reporting is awful to use, get some tips from EMIS Web!! 
Unable to copy global searches proves hard for when submitting data and the search that has been provided is wrong and needs changes. 

",,,
Clinical Commissioning Group (CCG - Primary Care - England),,EMIS Web (EMIS Health),Primary Care Doctor - GP,82.5,50,Functionality,,,,
Mental Health Foundation Trust,Dorset Healthcare University NHS Foundation Trust,RiO (Servelec Healthcare),Secondary / Tertiary Care Doctor,47.5,27.5,Easy to use ward management,Entering the core assessment,,,
Clinical Commissioning Group (CCG - Primary Care - England),,EMIS Web (EMIS Health),Primary Care Doctor - GP,87.5,45,PILs,"Colour code source of data, get patients to update the data and consents to data sharing within patient access software.",,,
Mental Health Foundation Trust,Leeds and York Partnership NHS Foundation Trust,Paris (Civica),"Physiotherapy, OT, Medical Technicians",17.5,10,Nothing,Everything,,,
Mental Health Foundation Trust,Leeds and York Partnership NHS Foundation Trust,Paris (Civica),Secondary / Tertiary Care Doctor,17.5,25,nothing! ,"it is based on ancient software, is not intuitive and has lots of completely unnecessary steps and clicks eg activity data requires 40 clicks and includes selecting my own name when already logged in to my own user account!
scrap it and rewrite it to modern standards.",,,
Mental Health Foundation Trust,Leeds and York Partnership NHS Foundation Trust,Paris (Civica),"Physiotherapy, OT, Medical Technicians",45,17.5,"Nothing really - I don't like it at all, and nor do I like being in front of a PC monitor for too long - I find that very tiring on my eyes, and increasingly bad for my posture/back. Also it is like many other complex on-line systems, in that if you don't frequently use certain aspects then you (well actually I) quickly forget how to do those things - so I often feel very anxious/frustrated and increasingly dispirited when using, and more and more often failing to use the system. ","Make the system much simpler, especially so with much  better 'search' facilities  for looking back to find specific clinical terms or clinician names in the reams and ever increasing reams of 'Activity' records that are often split up into different sub-groupings by teams, sub-teams, historical teams, sectors, etc (although they may be there already and I just haven't found them).",,,
Acute Foundation Trust,King's College Hospital NHS Foundation Trust,i.CM (CSC),IT or Technical Staff,77.5,35,The ability to build our own integrated programs into the products tabs.,"Greater Stability, improved speed, further configuration options improved customer support.",,,
Mental Health Foundation Trust,Leeds and York Partnership NHS Foundation Trust,Paris (Civica),Research Assistant,52.5,27.5,,"User options such as the order in which medical notes are displayed should be in a more obvious default order such as the date - this would ensure that the latest notes are visible without users having to change the options.  Some users don't even realise that these can be sorted into date order, and spend a large amount of time searching for the latest notes. ",,,
Clinical Commissioning Group (CCG - Primary Care - England),,EMIS Web (EMIS Health),Primary Care Doctor - GP,100,50,Superb support and training provided in the service wrap,Less clicks between screens,,,
Clinical Commissioning Group (CCG - Primary Care - England),NHS WIGAN BOROUGH CCG,EMIS Web (EMIS Health),Primary Care Doctor - GP,47.5,25,"it does provide a comprehensive primary care system, without which it would be harder to be a GP.","the Tasks dialog is a modal window which prevents me referring to any other part of EMIS until after I have finished the Task. Since we use Tasks for internal messages about referrals etc, I often want to check a detail while I am in the middle of a Task. I suggest it not be a modal window please.",,,
Scottish Health Board,NHS Greater Glasgow and Clyde,Orion Health Consult / Clinical Portal (aka Concerto) (Orion Health),Secondary / Tertiary Care Doctor,82.5,32.5,"Easy to use, intuitive",For it hold more clinical information. Our trust uses 2 separate systems for EPR,,,
Mental Health Foundation Trust,Leeds and York Partnership NHS Foundation Trust,Paris (Civica),Secondary / Tertiary Care Doctor,42.5,27.5,electronic records negate the effects of poor handwriting (mine in particular),"needlessly complicated interface
no medication tab
poor navigation to historical admission (no summary of past admissions)",,,
Mental Health Trust (non-Foundation),Manchester Mental Health and Social Care Trust,SystmOne GP (TPP),Primary Care Nurse - eg GP Practice Nurse,55,27.5,Having learnt how to use it it's easy to input info,So many ways to do the same thing,,,
Clinical Commissioning Group (CCG - Primary Care - England),NHS WIGAN BOROUGH CCG,Vision 3 (INPS),Primary Care Doctor - GP,30,17.5,switching it off,"the entire user interface, which is clunky, unintuitive, and in certain areas very slow (filing lab reports for example)",,,
Clinical Commissioning Group (CCG - Primary Care - England),NHS WIGAN BOROUGH CCG,SystmOne GP (TPP),Primary Care Doctor - GP,47.5,20,"when read coded diagnoses are added to the problem list, it's very easy to get an overview of the patient's current problems.","The UI needs a major refresh. Modal windows (such as when writing a Task) prevent access to the rest of S1 while writing them, and this is annoying when you need to refer to the record in the middle of writing a Task. Answer: ban modal windows. The rest of the civilised world has.",,,
Clinical Commissioning Group (CCG - Primary Care - England),NHS SOUTH CHESHIRE CCG,EMIS Web (EMIS Health),Primary Care Doctor - GP,85,35,,,,,
Acute Trust (non-Foundation),University Hospitals Coventry and Warwickshire NHS Trust,Lorenzo (CSC),"Physiotherapy, OT, Medical Technicians",55,27.5,Integrated with other systems,"Ensure true integration between all applications, and interoperability with other systems outside the organisation.",,,
Mental Health Foundation Trust,Leeds and York Partnership NHS Foundation Trust,Paris (Civica),"Administrative staff - eg ward clerk, clinical coder, secretary",30,10,,"everything - make it more simple so that information is not lost in the system and easier to find, currently there are too many possible areas where information can be stored and this means time searching for it",,,
Mental Health Foundation Trust,Leeds and York Partnership NHS Foundation Trust,Paris (Civica),"Administrative staff - eg ward clerk, clinical coder, secretary",42.5,25,It's better than nothing,"CIVICA are very slow and obstructive when it comes to integrating new features and fixing problems. What new features are integrated are often poorly done.
New iterations of the sofware tend to introduce more problems. 
I Would make it less buggy, technical, fiddly to use.
Make it easier to modify",,,
Mental Health Foundation Trust,Leeds and York Partnership NHS Foundation Trust,Paris (Civica),,15,15,the reports function works well,"more streamlined, links to other areas, more intuitive, faster, easier to link to email etc, link to web, push info and pull info",,,
Acute Trust (non-Foundation),St Helens and Knowsley Teaching Hospitals NHS Trust,Maxims (IMS Maxims),IT or Technical Staff,47.5,15,Integrated Order Comms,Custom data collection is poor,,,
Acute Foundation Trust,Aintree University Hospitals NHS Foundation Trust,Sigma,"Physiotherapy, OT, Medical Technicians",27.5,10,Easy to learn,Doesn't match my needs as a clinician and means I end up doubling my admin,,,
Mental Health Foundation Trust,5 Boroughs Partnership NHS Foundation Trust,IAPTUS,Clinical psychologist,52.5,27.5,,,,,
Clinical Commissioning Group (CCG - Primary Care - England),NHS NORTH LINCOLNSHIRE CCG,EMIS Web (EMIS Health),Primary Care Doctor - GP,80,35,Ease of use in the main and the extent of integrated clinical support,Develop care plan functionality which is virtually non existent so we have to use inconvenient workarounds,,,
Acute Foundation Trust,OtherThe Princess Alexandra,Cambio COSMIC,IT or Technical Staff,100,50,Flexibility of the supplier and configurability os the system is what we hear most.,Please add The Princess Alexandra Hospital NHS Trust and Cambio COSMIC to the survey.  Thank you.  We will then encourage people at PAH to take this survey for the positive results that would be generated.,,,
Acute Trust (non-Foundation),Mid Essex Hospital Services NHS Trust,Extramed ,Secondary / Tertiary Care Doctor,70,27.5,Access to recent discharge summaries and medication.,Priorities and times af arrival on the pre-admission list.,,,
Clinical Commissioning Group (CCG - Primary Care - England),NHS GLOUCESTERSHIRE CCG,EMIS Web (EMIS Health),Primary Care Doctor - GP,50,42.5,,,,,
Acute Foundation Trust,University College London Hospitals NHS Foundation Trust,eCare Logic (CGI),Secondary / Tertiary Care Doctor,50,27.5,The way it display results. ,"The user interface is slow. Needs to be more responsive.
Does not integrate with PAS, electronic prescribing, Infoflex",,,
Community Trust,Birmingham Community Healthcare NHS Trust,EMIS Web (EMIS Health),"Community Nurse - School Nurse, Health Visitor etc",52.5,27.5,easy to carry,more templates,,,
Acute Trust (non-Foundation),Brighton and Sussex University Hospitals NHS Trust,Alert (Alert Life Sciences Computing),"nurse practitioner A&E and OPD, EPR clinical change facilitator ",7.5,15,"Looks good, some good free text area and choose to code.","Coding needs to be 1 click and on main clinical page, discharge needs to be on main clincial page, needs spell checker, needs to keep the same formatting when tying in, needs TAB indenting, needs more guides, to many area where you can type the this becomes hidden (black holes), to many clicks for certain tasks such as urine 32 clicks, vital signs chart very poor needs improved, medication needs speeds up plus patient group directive (prescribe and give a drug at the same time) or prescribed medication, unable to users or implementation team to build template for inputting clinical data, vital signs to basic unable to add NEWS scores, OUT is very poor PDF reports these take a long time to generate, LOTS and LOTS of superfluous information on the system when you save clinical date this needs removed (a 2-3 page reports turn 9-10 pages.",,,
Community Trust,Hertfordshire Community NHS Trust,SystmOne GP (TPP),Primary Care Doctor - GP,37.5,35,"nice interface
good allround system","inerface thoguh good  is cluttered
The systme is appallign in its lack of interoperability with othe rGPSoC and other third party software. TPP really needs to stop being so insular and actually realise it is puttin gpatients health at risk through it's stbborn refual to ambrace interoperability. Dangerous!",,,
Clinical Commissioning Group (CCG - Primary Care - England),NHS LINCOLNSHIRE WEST CCG,EMIS Web (EMIS Health),Primary Care Doctor - GP,92.5,47.5,"it thinks like I do, and makes problem management the easy thing to do, 
it is easy for me to make it like I want it to be, and the company do change things in response to clinical need [eventually] where we can't change things as we want.","not the system - that is evolving and improving all the time anyway

it is such a good system that our expectations of it are far far higher than they ever have been of another system!

the problem is with the local IT support network who want to keep control of the IT, and cut corners unnecessarily and illegally [like having a generic locum smart card because they can't be bothered to put locums on individual practices, and or not fast enough!!!], and locums can't access the internet!!!!! which we now need for safe and effective consulting. this is all nonsense.. but is nothing to do with emis!
",,,
Clinical Commissioning Group (CCG - Primary Care - England),NHS NEWBURY AND DISTRICT CCG,EMIS Web (EMIS Health),Primary Care Doctor - GP,65,35,"Integration, customisation",Some aspects of interface.  Too many alerts for drug interactions that make you stop looking at them.,,,
Clinical Commissioning Group (CCG - Primary Care - England),NHS HERTS VALLEYS CCG,Vision 3 (INPS),IT or Technical Staff,47.5,32.5,For the experienced user the richness and flexibility of what you can do both in consultation and with other tools like search and reports is impressive,"Trying to share reports, Guidelines etc. between practices and promote consistent working is fraught with problems.",,,
Clinical Commissioning Group (CCG - Primary Care - England),NHS CHILTERN CCG,EMIS Web (EMIS Health),IT or Technical Staff,72.5,32.5,easy but potentially powerful reporting,"need to be able to make user defined filters available to other staff. problem headings baffling for most users - combine, evolve etc. ",,,
Acute Trust (non-Foundation),Brighton and Sussex University Hospitals NHS Trust,Alert (Alert Life Sciences Computing),"nurse practitioner A&E, OPD - EPR clinical change facilitator",5,15,"It looks nice, part of it are easy to use, some quick steps.","Coding needs to be 1 click and on main clinical page, discharge needs to be on main clincial page, needs spell checker, needs to keep the same formatting when tying in, needs TAB indenting, needs more guides, to many area where you can type the this becomes hidden (black holes), to many clicks for certain tasks such as urine 32 clicks, vital signs chart very poor needs improved, medication needs speeds up plus patient group directive (prescribe and give a drug at the same time) or prescribed medication, unable to users or implementation team to build template for inputting clinical data, vital signs to basic unable to add NEWS scores, OUT is very poor PDF reports these take a long time to generate, LOTS and LOTS of superfluous information on the system when you save clinical date this needs removed (a 2-3 page reports turn 9-10 pages.",,,
Clinical Commissioning Group (CCG - Primary Care - England),NHS HERTS VALLEYS CCG,EMIS Web (EMIS Health),Primary Care Doctor - GP,75,40,,Frequent crashes,,,
Clinical Commissioning Group (CCG - Primary Care - England),NHS WEST KENT CCG,EMIS Web (EMIS Health),Primary Care Doctor - GP,87.5,45,Important information his readily available. Its power allows for the retrieval of complex datasets. It's configurability allows local users to add a lot of value,I would improve consistency across the system, reduce the bureaucracy of requesting enhancements.,,
Clinical Commissioning Group (CCG - Primary Care - England),NHS LEEDS WEST CCG,EMIS Web (EMIS Health),Primary Care Doctor - GP,92.5,47.5,"Powerful, yet easy to use.
Protocols","workflow: fewer clicks for tasks, improvements to document and referral workflow.",,,
Clinical Commissioning Group (CCG - Primary Care - England),NHS VALE OF YORK CCG,EMIS Web (EMIS Health),"Administrative staff - eg ward clerk, clinical coder, secretary",62.5,30,,Less clicking to get where you need to get to,,,
Acute Foundation Trust,Alder Hey Children's NHS Foundation Trust,Meditech (Meditech),IT or Technical Staff,75,37.5,,,,,
Acute Foundation Trust,Royal Berkshire NHS Foundation Trust,Millennium (Cerner),Staff Nurse,60,32.5,"Most Major Functions Accessible through ""POWERCHART"" app",,,,
Acute Foundation Trust,The Clatterbridge Cancer Centre NHS Foundation Trust,Maxims (IMS Maxims),Secondary / Tertiary Care Doctor,45,37.5,"It launches our EDRMS (Kainos Evolve) and EPMA (Ascribe) systems in patient focus.
It is accessible off-site via Citrix portal","UI sucks!
Menus could be bigger and it is not at all intuitive. Unless you know where things are they can be impossible to find
There is a lot of functionality that we are not using which may not be the fault of IMS - e.g clinical noting and complex decison support",,,
Mental Health Foundation Trust,North East London NHS Foundation Trust,RiO (Servelec Healthcare),Secondary / Tertiary Care Doctor,72.5,37.5,Simple,Integration,,,
Clinical Commissioning Group (CCG - Primary Care - England),NHS KERNOW CCG,Evolution (Microtest),Primary Care Doctor - GP,100,40,"It is intuitive, easy to use and great for patient care, promotes safe care with appropriate information sharing","Very little, it's a great system. Wish more practices used it",,,
Acute Trust (non-Foundation),Brighton and Sussex University Hospitals NHS Trust,Alert (Alert Life Sciences Computing),nurse practitioner - EPR clinical change facilitator,7.5,25,Nice to look at.,"Keep all clinical data enter to one page, keep coding one click only on clinical page, better free text areas, e-prescribing needs to be speeded up,discharge needs to be on the same page as clinical page, no help guides on the system this is needed, Company needs some feedback mechinsism or ability to listen, very difficult to reaad information you type in it reformats and you lose the spaceing, you should be able to TAB indent text, needs spell checker. ",,,
Clinical Commissioning Group (CCG - Primary Care - England),NHS BEDFORDSHIRE CCG,SystmOne GP (TPP),Primary Care Doctor - GP,50,35,"It is very powerful, very comprehensive and is particularly good on communication",Because it is so powerful it can be very difficult to understand how to use it most efficiently. It is also very difficult to work with a third-party macro system because there are relatively few keypress equivalents. It is also very clunky in that most of its functions are triggered by too large a number of unnecessary keypresses,,,
Acute Trust (non-Foundation),Brighton and Sussex University Hospitals NHS Trust,Alert (Alert Life Sciences Computing),Clinical Change Facilitator,30,22.5,"The decision support tools available, particularly for ePrescribing - contraindication and allergy warnings.",The complexity / number of clicks to do even simple tasks.,,,
Acute Trust (non-Foundation),Brighton and Sussex University Hospitals NHS Trust,Alert (Alert Life Sciences Computing),Secondary Care / Inpatient NurseED Nurse ,20,20,nothing,everything ,,,
Acute Foundation Trust,Harrogate and District NHS Foundation Trust,Software of Excellence (Henry Schein),Salaried dentist,7.5,5,Can read input data  ,"i treat special needs patients and need to input a lot of free text in order that all the information needed to treat the patient is easily available Unless this is all put together it makes accessing it cumbersome and time consuming
Need to be able to read free text as a whole not in different entries",,,
